Date,Iron Ore price index,Limestone price index,Coking Coal price index,Petroleum Coke price index,Electricity price index,Zinc metal price index
11-Apr,99.2,95.4,100,100.8,94.8,101.5
11-May,93.7,90.4,100,100.8,96.4,101.8
11-Jun,95.1,97.1,100,100.8,98.3,101.6
11-Jul,95.3,97.1,100,101.3,98.3,101.6
11-Aug,98.4,97.1,100,100.6,101.4,99.8
11-Sep,97.4,97.1,100,99,101.5,100.3
11-Oct,105.8,97.1,100,98.5,104.1,98
11-Nov,108.1,105.4,100,98.4,102.5,97.2
11-Dec,109.9,105.4,100,99.4,102.1,99.7
12-Jan,109.8,105.4,100,99,101,99.2
12-Feb,94.8,107.1,100,100.2,99.8,99.7
12-Mar,94.7,107.1,100,101.2,100.2,99.7
12-Apr,100.7,118.2,100,101.4,97.4,101.5
12-May,104.2,118.2,100,102,100.8,102.2
12-Jun,106.1,116.7,100,102,102.5,102.2
12-Jul,110.8,130.3,100,99.5,101.8,103.1
12-Aug,108.6,131.6,100,98.7,98.5,103.9
12-Sep,106.7,130,100,98.4,97.4,105.2
12-Oct,105.6,134.9,100,98.4,101.4,106.5
12-Nov,107.7,135.1,100,98.4,101.6,105.8
12-Dec,105.2,139.2,100,98.4,101.3,106.3
13-Jan,98.8,139.8,100,98.4,104.5,109.3
13-Feb,100.2,140.5,100,98.4,100.6,109.1
13-Mar,91.6,133.6,100,98.4,98.2,108
13-Apr,91.3,140.4,100,89.4,101.1,108.1
13-May,90.2,146.7,100,89.4,101,107
13-Jun,90.7,148.8,101.4,89.4,101.5,108.4
13-Jul,87.4,150,101.4,92.3,102.3,110.7
13-Aug,83.6,149.5,101.4,92.6,103.1,111.9
13-Sep,82.5,148.8,101.4,94.6,104.6,113.9
13-Oct,86.7,153.8,101.4,94.3,103.3,113.5
13-Nov,85.8,147.6,101.4,95.2,103.1,113.9
13-Dec,94.1,142.2,101.4,95.4,105.6,114.1
14-Jan,94.6,151.1,101.4,93.6,105.8,116
14-Feb,93,157.7,101.4,93.8,105.9,116
14-Mar,90,152.6,101.4,94,106.4,116.4
14-Apr,88.1,157.5,101.4,96.9,106,116.4
14-May,88.9,150,101.4,98,102.7,116.8
14-Jun,95.4,149.3,101.4,97.3,101.9,118.7
14-Jul,96.5,151.8,101.4,95.7,102.7,120.3
14-Aug,97.3,158.3,101.4,96,106.1,121.8
14-Sep,98.8,151.7,101.4,96,104.9,122.1
14-Oct,97.9,151.3,101.4,95.3,104.3,121.5
14-Nov,97.5,150.8,101.4,92.5,106.5,121.7
14-Dec,95,158.9,101.4,91.6,108.4,120.6
15-Jan,93.2,153,101.4,91.5,109.1,119.9
15-Feb,83.9,158.1,101.4,91,107.8,118.2
15-Mar,79.5,152.3,101.4,89.9,107.5,117.9
15-Apr,68.3,158.1,101.4,88.7,108,117.9
15-May,65,161.3,101.4,88.6,106.1,117.5
15-Jun,63.2,159.5,101.4,87.3,105.9,114.5
15-Jul,56.9,157.2,101.4,87.6,106.5,115.2
15-Aug,54.2,164.7,101.4,88.7,105.4,115
15-Sep,58.8,168,101.4,89.1,106.3,112.7
15-Oct,50.1,162.6,101.4,87.9,103.1,111.7
15-Nov,50.6,162.6,101.4,75,104.5,111.9
15-Dec,47.7,170.6,101.4,63.3,104.9,111
16-Jan,53.8,167.7,101.4,58.8,105.9,110.6
16-Feb,46.3,169.3,101.4,61.2,103.5,110.2
16-Mar,48.7,170.6,101.4,63.4,102.9,111.4
16-Apr,47.5,172.2,101.4,68.5,101.1,111
16-May,47.4,172.5,101.4,73,102.2,113.8
16-Jun,43.8,182.6,101.4,79.8,102.8,115.1
16-Jul,44.3,187.1,101.4,88.8,102.7,116.2
16-Aug,44.6,181.4,101.4,96.1,103.2,113.8
16-Sep,44.7,182,101.4,95.9,103.8,115.7
16-Oct,52.6,182,101.4,104.4,103.9,117.3
16-Nov,53.5,200,101.4,105.6,105.9,122.3
16-Dec,54.2,200.1,101.4,105.9,106.2,123.8
17-Jan,57.6,199.6,123.1,100,107.9,126.1
17-Feb,60,199.6,130.8,99.4,107.4,127.4
17-Mar,62.2,199.6,131.5,98,102.7,126.8
17-Apr,68,199.6,135.5,101.3,103.3,125.8
17-May,67.3,207.2,135.5,107.3,102.8,129.9
17-Jun,66,230.1,135.5,110.5,102,129.9
17-Jul,63.7,232.6,135.5,114.2,102,130.7
17-Aug,63.9,221.7,135.5,112.4,100.6,131.7
17-Sep,73.1,221.7,135.5,112.5,106.1,133.4
17-Oct,73.3,221.7,135.5,121.3,106.1,135.6
17-Nov,75.1,221.7,133.6,125.6,102.7,139.5
17-Dec,77,221.7,131.7,123.3,102.4,139.6
18-Jan,88.4,232,131.7,120.6,105,140.2
18-Feb,87.3,238.9,131.7,122,105.4,140.3
18-Mar,86.8,243.9,131.7,134.8,105.4,141.2
18-Apr,90.2,249.7,132,142,104.9,140.1
18-May,88.1,245.2,132,145.9,110.7,142.4
18-Jun,88.7,254.1,132,148,109.6,141.9
18-Jul,92,255,132,155.6,109.6,142.1
18-Aug,87.6,249.2,132,160,109.4,139.8
18-Sep,93.7,241.8,132.8,156.1,112.4,140.6
18-Oct,96.8,241.1,133.3,157.2,112.4,140.8
18-Nov,95.3,248.8,133.3,152,109.3,139.1
18-Dec,91.7,246.7,133.3,140.9,110.7,139.2
19-Jan,84.8,241.5,133.9,142.3,110.7,140
19-Feb,80.2,239.3,133.9,145.8,108.2,139.4
19-Mar,91.7,242.7,133.9,150,107.3,140.1
19-Apr,91,214,133.9,145.9,107.3,140.4
19-May,89.2,216.7,133.9,145.7,110.7,140.8
19-Jun,93.7,223.8,133.9,146.2,108.3,137.9
19-Jul,93.9,227,133.9,140.6,108.3,136
19-Aug,92.8,219.5,133.9,137.2,110.7,135.8
19-Sep,85.1,212.3,136.5,135,110,135.4
